Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q2.2,sch.l,sch.c,sch.d,dep.l,dep.c,dep.d,bp.l,bp.c,bp.d,md.l,md.c,md.d,anorexia.l,anorexia.c,anorexia.d,bulimia.l,bulimia.c,bulimia.d,ptsd.l,ptsd.c,ptsd.d,adhd.l,adhd.c,adhd.d,ocd.l,ocd.c,ocd.d,bpd.l,bpd.c,bpd.d,diabetes.l,diabetes.c,diabetes.d,tbi.l,tbi.c,tbi.d,dementia.l,dementia.c,dementia.d,epilepsy.l,epilepsy.c,epilepsy.d,ms.l,ms.c,ms.d,cerebralp.l,cerebralp.c,cerebralp.d,downsyn.l,downsyn.c,downsyn.d,tourette.l,tourette.c,tourette.d,alzheimer.l,alzheimer.c,alzheimer.d,parkinson.l,parkinson.c,parkinson.d,anxiety.l,anxiety.c,anxiety.d,suicide.l,suicide.c,suicide.d,panic.l,panic.c,panic.d,alcohol.l,alcohol.c,alcohol.d,substance.l,substance.c,substance.d,nicotine.l,nicotine.c,nicotine.d,meth.l,meth.c,meth.d,cocaine.l,cocaine.c,cocaine.d,heroin.l,heroin.c,heroin.d,gambling.l,gambling.c,gambling.d,asd.l,asd.c,asd.d,aspberger.l,aspberger.c,aspberger.d,asthma.l,asthma.c,asthma.d,narcolepsy.l,narcolepsy.c,narcolepsy.d,insomnia.l,insomnia.c,insomnia.d,dyslexia.l,dyslexia.c,dyslexia.d,cte.l,cte.c,cte.d,fragilex.l,fragilex.c,fragilex.d,genetic.l,genetic.c,genetic.d,neurological.l,neurological.c,neurological.d,Are you a native English speaker?,What is your age? - years,What is your gender?,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please specify): - Text,How politically liberal or conservative are you? - SOCIAL ISSUES,How politically liberal or conservative are you? - ECONOMIC ISSUES,Have you or a loved one ever been diagnosed with a mental illness? - Selected Choice,Have you or a loved one ever been diagnosed with a mental illness? - Yes (please specify): - Text,"If you have any comments, please enter them here:"
4/19/19 12:38,4/19/19 12:40,IP Address,72.220.195.220,100,112,TRUE,4/19/19 12:40,R_d5TDdWKZBdVEQxz,,,,,32.7651062,-117.1276016,anonymous,EN,Accept,,,,13,,,,,,,,,,,,37,,,50,,,23,,,15,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,0,,,0,,,,,29,,,,,,20,,,,,,,,,50,,,8,,,,,,10,,,,,41,,,63,,,51,,,71,,,,,,,,,,,,40,,,,,,,,,Yes,37,Male,White,,Neither Liberal nor Conservative,Very Liberal,No,,
4/19/19 12:38,4/19/19 12:40,IP Address,68.191.144.87,100,119,TRUE,4/19/19 12:40,R_tDJOZUSbswZyYSt,,,,,45.31359863,-93.58139801,anonymous,EN,Accept,,,,39,,,4,,,41,,,,,,,,,25,,,63,,,,,,,,,,,,52,,,100,,,86,,,,,,43,,,,,,,,,,,,40,,,,45,,,,,,38,,,,,,0,,,75,,,,,,,,,0,,,,,30,,,,,,,,,0,,,,,,73,,,29,,,66,,,,,,,,,Yes,25,Female,White,,Liberal,Liberal,No,,
4/19/19 12:38,4/19/19 12:40,IP Address,67.169.248.235,100,87,TRUE,4/19/19 12:40,R_27HUiitw0WOo1H8,,,,,40.69819641,-111.8410034,anonymous,EN,Accept,57,,,52,,,,,,,,,10,,,18,,,,,,,,,,,,71,,,,,,,,,,,,,,,5,,,16,,,61,,,,,,64,,,56,,,,,32,,,,,,,,,55,,,,,,15,,,,,,64,,,60,,,,,,11,,,7,,,6,,,,,,15,,,,,,7,,,,,,,,,,Yes,35,Male,White,,Somewhat Conservative,Somewhat Conservative,No,,
4/19/19 12:38,4/19/19 12:40,IP Address,76.217.138.112,100,95,TRUE,4/19/19 12:40,R_WwlLk0yyaDl1OQp,,,,,29.17329407,-98.47229767,anonymous,EN,Accept,,,55,,,,,,55,,,31,,,20,,,,,,,,,20,,,,,,,,,,,,45,,,,,,9,,,9,,,14,,,22,,,,,,,,,,,,,,,,,55,,,21,,,,,,73,,,12,,,,,,9,,,,,,35,,,35,,,55,,,,,,35,,,40,,,,,,,,,,,,,,,40,Female,Black or African American,,Liberal,Liberal,No,,
4/19/19 12:38,4/19/19 12:40,IP Address,173.235.180.206,100,136,TRUE,4/19/19 12:40,R_2AHxsO0w5PtxpSz,,,,,32.46989441,-90.11019897,anonymous,EN,Accept,,,,,44,,,30,,,,,,73,,,70,,,,,,,,,45,,,,,,,,,,,,23,,,,,,,,,41,,,12,,,64,,,,,,51,,,,,7,,,,,,,,,20,,,76,,,24,,,,,,,,,42,,,,26,,,34,,,,,,59,,,57,,,,,,,,,50,,,,,,,,Yes,35,Male,White,,Neither Liberal nor Conservative,Conservative,No,,
4/19/19 12:38,4/19/19 12:40,IP Address,47.158.192.215,100,125,TRUE,4/19/19 12:40,R_1eKUh7oUojXt7DA,,,,,33.76449585,-116.3368988,anonymous,EN,Accept,,,20,,,,,,,,,,,,50,,,,,,,,,80,,,50,,,20,,,,100,,,,,,100,,,100,,,,,,80,,,,,,,,,100,,,,,,50,,,,,,10,,,,,,20,,,,,,20,,,,,,0,,,,,,,,,,,,,50,,,30,,,100,,,,,,50,,,,,,50,,Yes,26,Female,Hispanic or Latino/a,,Very Liberal,Somewhat Conservative,No,,
4/19/19 12:38,4/19/19 12:40,IP Address,97.124.179.161,100,126,TRUE,4/19/19 12:40,R_1JWSRUjHSjejHhl,,,,,33.71470642,-112.240097,anonymous,EN,,,,,,,,,,,,,,,,56,,,56,,,60,,,,,,40,,,59,,,,,56,,,56,,,47,,,,,,61,,,,,,,,,,,,57,,,,,,,,64,,,35,,,43,,,41,,,,,,60,,,,,,,,,,,,,,,,61,,,59,,,,,,61,,,61,,,41,,,,,,,,Yes,27,Male,White,,Liberal,Liberal,No,,
4/19/19 12:38,4/19/19 12:40,IP Address,209.136.123.151,100,105,TRUE,4/19/19 12:40,R_Q0wkxKbkXPstwjf,,,,,30.20089722,-93.4437027,anonymous,EN,Accept,,,,,,41,,,74,,,,,,22,,,,,,,,,24,,,,,,69,,,36,,,72,,,57,,,,,,30,,,,,,,,,76,,,,,,,,15,,,68,,,,,,,,,,,,27,,,81,,,,,,71,,,,,39,,,,,,13,,,,,,75,,,12,,,,,,,,,,,,44,,,Yes,28,Male,White,,Somewhat Liberal,Somewhat Liberal,No,,
4/19/19 12:38,4/19/19 12:40,IP Address,162.226.190.29,100,141,TRUE,4/19/19 12:40,R_2floQiPHWLPK9ss,,,,,33.87820435,-117.9566956,anonymous,EN,Accept,,,74,,,,,,,,,,,,0,,,0,,,,,,,,,0,,,86,,,,,,,,33,,,51,,,,,,,,,,,,68,,,35,,,32,,50,,,,,,,,,,,,10,,,31,,,5,,,,,,0,,,,,,,,,,,59,,,0,,,,,,,,,0,,,0,,,0,,,,,,,Yes,27,Female,White,,Liberal,Neither Liberal nor Conservative,No,,
4/19/19 12:38,4/19/19 12:40,IP Address,207.251.90.10,100,131,TRUE,4/19/19 12:40,R_T1ItcMqwzUXAXFT,,,,,40.67399597,-73.9701004,anonymous,EN,Accept,,,,,,,,,30,,,,,,75,,,,,,,,,75,,,60,,,30,,,,,,,,,35,,,,,,,,,,,,75,,,35,,,35,,,75,,,,,,50,,,,,,40,,,,,,,,,25,,,25,,,,,,40,,,,40,,,,,,,,,51,,,75,,,,,,37,,,,,,76,,,Yes,26,Male,White,,Somewhat Liberal,Somewhat Conservative,No,,"None, thank you."
