Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,.,"In your opinion, how *unpredictable* is this person? - How unpredictable?","In your opinion, how *sincere* is this person? - How sincere?","In your opinion, how *dangerous* is this person? - How dangerous?","In your opinion, how *trustworthy* is this person? - How trustworthy?","In your opinion, how *friendly* is this person? - How friendly?","In your opinion, how *helpless* is this person? - How helpless?","In your opinion, how *moral* is this person? - How moral?","In your opinion, how *understanding* is this person? - How understanding?","In your opinion, how *intelligent* is this person? - How intelligent?","In your opinion, how *skilled* is this person? - How skilled?","In your opinion, how *confident* is this person? - How confident?","In your opinion, how *creative* is this person? - How creative?","In your opinion, how *capable* is this person? - How capable?","In your opinion, how *angry* is this person? - How angry?","In your opinion, how *desirable* is this person? - How desirable?","In your opinion, how *embarrassed* is this person? - How embarrassed?","In your opinion, how *joyful* is this person? - How happy?",What is 2 + 4 equal to? - Equal to?,"In your opinion, how *isolated* is this person? - How isolated?","In your opinion, how *violent* is this person? - How violent?","In your opinion, how *successful* is this person? - How successful?","In your opinion, how *unpredictable* is this person? - How unpredictable?","In your opinion, how *sincere* is this person? - How sincere?","In your opinion, how *dangerous* is this person? - How dangerous?","In your opinion, how *trustworthy* is this person? - How trustworthy?","In your opinion, how *friendly* is this person? - How friendly?","In your opinion, how *helpless* is this person? - How helpless?","In your opinion, how *moral* is this person? - How moral?","In your opinion, how *understanding* is this person? - How understanding?","In your opinion, how *intelligent* is this person? - How intelligent?","In your opinion, how *skilled* is this person? - How skilled?","In your opinion, how *confident* is this person? - How confident?","In your opinion, how *creative* is this person? - How creative?","In your opinion, how *capable* is this person? - How capable?","In your opinion, how *angry* is this person? - How angry?","In your opinion, how *desirable* is this person? - How desirable?","In your opinion, how *embarrassed* is this person? - How embarrassed?","In your opinion, how *joyful* is this person? - How joyful?",What is 1 + 3 equal to? - Equal to?,"In your opinion, how *isolated* is this person? - How isolated?","In your opinion, how *violent* is this person? - How violent?","In your opinion, how *successful* is this person? - How successful?",Are you a native English speaker?,What is your age? - years,What is your gender?,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please specify): - Text,How politically liberal or conservative are you? - SOCIAL ISSUES,How politically liberal or conservative are you? - ECONOMIC ISSUES,"If you have any comments, please enter them here:"
2/21/19 10:52,2/21/19 10:55,0,75.4.216.39,100,230,1,2/21/19 10:55,R_1eOxNkDfm21dGw4,,,,,34.00340271,-84.46050262,anonymous,EN,1,21,100,1,100,100,50,100,100,100,100,51,100,100,51,100,59,50,6,73,0,100,53,100,52,100,100,100,100,100,100,75,25,100,50,67,100,29,13,4,84,49,50,1,36,2,5,,1,1,
2/21/19 10:53,2/21/19 10:57,0,76.0.56.231,100,246,1,2/21/19 10:57,R_2YQDwlV0FIZIqFR,,,,,38.71859741,-93.98560333,anonymous,EN,1,10,84,0,77,72,19,87,96,82,87,44,82,85,31,88,61,61,6,79,0,72,6,81,0,81,63,1,91,60,91,81,40,96,81,0,76,69,82,4,61,0,71,1,28,1,5,,1,1,Thank you!
2/21/19 10:59,2/21/19 11:02,0,24.4.62.188,100,175,1,2/21/19 11:02,R_1llDVW6gc341xWG,,,,,37.46470642,-122.2304001,anonymous,EN,1,97,64,69,48,32,55,68,29,75,36,34,75,42,86,21,92,16,6,79,59,43,94,24,68,13,83,73,46,26,21,19,37,100,40,87,14,47,10,4,73,95,22,1,23,2,3,,2,3,
2/21/19 11:10,2/21/19 11:12,0,73.48.80.170,100,155,1,2/21/19 11:12,R_tDO2hoMYEmdyTPH,,,,,30.49079895,-84.31580353,anonymous,EN,1,27,45,31,50,45,57,49,68,60,30,25,41,50,60,21,62,5,6,76,41,36,76,67,60,45,43,71,50,51,62,28,66,81,39,57,29,30,34,4,68,56,33,1,36,1,5,,1,1,
2/21/19 11:10,2/21/19 11:12,0,71.206.8.9,100,124,1,2/21/19 11:12,R_1mkjzSAcuCLnZs7,,,,,39.04620361,-77.11949921,anonymous,EN,1,70,70,71,71,73,71,71,70,72,62,60,72,70,62,59,71,60,6,71,62,62,90,51,90,54,52,73,54,53,51,51,53,72,53,74,0,53,1,4,72,73,52,1,37,2,2,,3,3,None.
2/21/19 11:14,2/21/19 11:17,0,68.61.218.97,100,217,1,2/21/19 11:17,R_W3BRAt6kp3s51Vn,,,,,42.59379578,-82.91329956,anonymous,EN,1,31,36,21,62,47,45,45,72,71,53,21,70,47,56,23,37,8,6,85,20,46,84,49,50,18,40,69,50,53,61,50,33,68,62,62,28,71,15,4,77,16,24,1,33,2,5,,1,6,
2/21/19 11:14,2/21/19 11:17,0,76.171.11.239,100,234,1,2/21/19 11:18,R_6hhKmVnOgXgYLwB,,,,,34.00300598,-118.4297943,anonymous,EN,1,51,79,72,59,36,72,53,72,68,54,1,50,73,1,33,51,1,6,85,1,49,92,50,61,14,31,70,71,55,42,21,27,51,52,40,1,50,18,4,87,39,29,1,30,2,2,,1,2,
2/21/19 11:14,2/21/19 11:19,0,73.110.45.4,100,286,1,2/21/19 11:19,R_1o8aSPBxKCBP2d0,,,,,41.83779907,-87.7602005,anonymous,EN,1,85,30,50,20,10,100,50,20,25,0,0,0,0,75,50,100,2,6,76,60,0,100,0,100,0,0,100,0,0,0,0,0,0,0,76,0,100,0,4,100,100,0,1,28,1,4,,4,4,Great survey!
2/21/19 11:22,2/21/19 11:24,0,205.153.204.1,100,146,1,2/21/19 11:24,R_XRk16K6TlxcpE8V,,,,,42.29330444,-121.8168945,anonymous,EN,1,7,69,33,63,55,53,77,62,79,60,39,93,73,29,52,18,54,6,41,13,70,63,46,51,29,28,55,54,27,52,13,27,41,45,32,51,70,8,4,76,39,28,1,45,1,5,,4,7,Thanks
2/21/19 12:01,2/21/19 12:04,0,23.249.187.158,100,199,1,2/21/19 12:04,R_29ubnlDxnIpZKQA,,,,,37.75100708,-97.8219986,anonymous,EN,1,75,76,78,76,77,77,76,76,76,73,76,77,76,75,74,77,77,6,75,77,77,73,70,82,70,69,77,72,77,76,77,76,76,70,70,77,77,78,4,70,71,75,1,28,1,5,,6,7,GOOD
2/27/19 11:07,2/27/19 11:09,0,68.114.108.125,100,104,1,2/27/19 11:09,R_w7PFd7eW35MuHiF,,,,,30.27839661,-89.77120209,anonymous,EN,1,51,50,51,50,52,51,50,51,50,51,8,50,49,50,50,52,28,6,100,16,50,51,50,56,51,50,25,50,52,50,49,50,47,51,50,23,51,50,4,87,49,50,1,34,1,5,,4,4,
2/27/19 11:08,2/27/19 11:10,0,108.171.130.162,100,132,1,2/27/19 11:10,R_111741vphxrIq2g,,,,,40.74360657,-73.92160034,anonymous,EN,1,78,40,83,30,23,53,85,55,49,67,62,36,85,70,70,90,72,6,73,38,49,28,71,80,69,87,50,41,48,56,60,75,61,66,81,69,36,30,4,50,40,70,1,36,1,5,,4,4,
2/27/19 11:08,2/27/19 11:10,0,24.18.153.117,100,111,1,2/27/19 11:10,R_6rigLztQeBB8LE5,,,,,47.32359314,-122.3186951,anonymous,EN,1,25,77,36,67,56,26,66,84,75,66,38,47,70,54,65,30,47,6,50,29,58,42,41,26,71,45,36,64,56,50,64,50,37,69,44,43,54,49,4,32,58,56,1,28,1,5,,3,3,
2/27/19 11:08,2/27/19 11:10,0,209.6.192.146,100,129,1,2/27/19 11:10,R_1rOHEBteowJL01R,,,,,42.38290405,-71.10279846,anonymous,EN,1,20,81,10,78,60,68,79,79,52,29,15,54,39,64,44,83,29,6,86,10,52,40,91,10,84,70,63,69,71,56,23,51,22,52,59,31,34,37,4,85,17,37,1,26,1,5,,2,2,
2/27/19 11:08,2/27/19 11:10,0,96.66.40.97,100,104,1,2/27/19 11:10,R_5t1PASzrmngY3Bv,,,,,42.57000732,-83.74839783,anonymous,EN,1,100,1,55,2,1,100,1,1,1,1,1,1,1,66,1,62,1,1,100,50,1,100,1,80,1,1,77,1,1,1,1,1,1,1,81,1,61,2,1,79,63,1,1,30,1,5,,7,7,
2/27/19 11:08,2/27/19 11:10,0,67.181.174.153,100,91,1,2/27/19 11:10,R_2xEqfhKEBu2lUzv,,,,,38.58039856,-121.4922028,anonymous,EN,1,35,56,52,26,62,47,33,23,35,30,31,49,26,26,33,61,30,6,32,29,62,45,70,24,38,42,34,34,32,42,53,35,31,19,39,10,28,36,4,22,19,28,1,22,1,5,,2,2,
2/27/19 11:08,2/27/19 11:10,0,206.82.167.128,100,117,1,2/27/19 11:10,R_1mWcWWTiBhcguu2,,,,,41.60279846,-83.6292038,anonymous,EN,1,17,86,2,83,83,82,90,81,82,84,37,68,84,5,76,78,50,6,60,5,86,79,85,47,67,70,66,78,49,63,59,64,40,64,22,74,59,75,4,64,44,44,1,39,2,5,,3,5,n/a
2/27/19 11:08,2/27/19 11:10,0,98.251.169.14,100,143,1,2/27/19 11:10,R_1etJY2Ar29UA8Yl,,,,,34.94410706,-89.85440063,anonymous,EN,1,78,43,18,40,41,73,50,29,48,47,11,49,30,35,33,91,5,6,92,57,47,100,15,90,18,19,90,50,16,21,16,24,40,24,84,15,85,24,4,93,81,17,1,34,2,5,,5,5,None
2/27/19 11:07,2/27/19 11:10,0,65.182.173.135,100,159,1,2/27/19 11:10,R_3DZvK1qXhv4uYhz,,,,,41.69839478,-88.08249664,anonymous,EN,1,74,45,59,49,15,60,33,48,39,43,8,62,48,62,12,63,8,6,81,69,26,84,54,72,42,47,29,57,65,46,53,35,72,65,68,25,63,41,4,81,73,52,1,37,1,2,,4,4,
2/27/19 11:08,2/27/19 11:10,0,136.160.90.35,100,121,1,2/27/19 11:10,R_3Rfl48NvYbP6Ch6,,,,,38.97419739,-76.59490204,anonymous,EN,1,24,47,21,58,47,41,53,46,56,54,28,36,44,19,43,29,20,6,82,32,35,73,29,29,21,32,60,37,22,47,37,39,41,28,56,41,30,35,4,46,55,27,1,22,1,5,,2,5,
2/27/19 11:08,2/27/19 11:10,0,75.4.216.39,100,153,1,2/27/19 11:10,R_1IxQ4SnRnhVgaxr,,,,,34.00340271,-84.46050262,anonymous,EN,1,9,100,1,92,100,79,100,100,100,82,51,100,100,74,85,72,31,6,71,1,74,71,100,49,49,100,100,100,100,100,50,51,100,52,84,50,70,52,4,100,52,36,1,37,2,5,,1,1,
2/27/19 11:08,2/27/19 11:11,0,72.211.211.69,100,123,1,2/27/19 11:11,R_2fxEOnRkLvIg3MV,,,,,33.62680054,-117.8717957,anonymous,EN,1,67,21,7,71,30,40,61,30,61,51,30,19,41,40,50,31,29,6,89,11,31,70,19,43,29,40,83,23,18,39,31,23,60,39,40,19,20,29,4,78,73,29,1,25,1,2,,2,2,
2/27/19 11:08,2/27/19 11:11,0,69.41.96.50,100,131,1,2/27/19 11:11,R_2o7rcltaSzwONxf,,,,,32.08349609,-81.09980011,anonymous,EN,1,70,45,33,53,44,87,53,45,38,51,4,84,41,76,10,72,19,6,88,64,20,88,8,90,20,11,69,62,4,24,38,33,47,38,77,17,54,11,4,72,84,24,1,36,1,5,,3,5,
2/27/19 11:08,2/27/19 11:11,0,74.137.135.146,100,160,1,2/27/19 11:11,R_3Ge4ESHPIbUB2oo,,,,,38.30780029,-85.73590088,anonymous,EN,1,5,60,0,82,62,11,100,79,81,81,31,49,85,9,69,35,24,6,65,1,50,60,51,2,64,67,38,87,60,77,77,77,79,78,2,63,36,62,4,33,4,71,1,33,1,5,,2,5,
2/27/19 11:08,2/27/19 11:11,0,45.4.196.127,100,177,1,2/27/19 11:11,R_2f2uCTauFu5C2wh,,,,,40.75030518,-74.00140381,anonymous,EN,1,91,92,61,75,80,92,49,99,72,73,61,70,48,74,60,81,81,6,90,59,79,69,57,77,58,57,63,83,87,95,82,64,71,73,82,74,93,90,4,74,91,92,1,30,1,5,,4,3,its very useful
2/27/19 11:08,2/27/19 11:11,0,23.242.69.172,100,191,1,2/27/19 11:11,R_12zk0bjC0z1Dq0B,,,,,34.0308075,-118.4729996,anonymous,EN,1,51,76,25,72,81,45,86,72,86,81,45,88,81,66,50,45,28,6,81,15,72,86,50,66,35,71,81,76,66,76,77,40,82,56,72,30,46,50,4,82,45,20,1,46,1,4,,2,3,None
2/27/19 11:09,2/27/19 11:11,0,66.91.211.85,100,121,1,2/27/19 11:11,R_3PifIewHNh5O5DM,,,,,21.28109741,-157.8265991,anonymous,EN,1,46,53,29,47,21,54,53,40,53,44,27,48,49,15,49,65,11,6,78,29,53,70,41,53,47,52,69,38,37,48,50,20,51,19,46,24,44,38,4,74,51,51,1,38,2,5,,1,1,"
"
2/27/19 11:08,2/27/19 11:11,0,174.202.16.235,100,180,1,2/27/19 11:11,R_27HymjUPn6pe5d2,,,,,40.66499329,-73.95230103,anonymous,EN,1,71,42,46,43,35,61,42,37,58,41,18,37,52,70,32,55,17,6,73,35,33,92,40,68,20,35,64,24,22,28,31,26,39,22,60,25,53,28,4,73,65,24,1,34,1,5,,1,5,
2/27/19 11:08,2/27/19 11:11,0,185.203.217.190,100,161,1,2/27/19 11:11,R_3dKOoaiqw4wI2s5,,,,,34.05490112,-118.2577972,anonymous,EN,1,74,59,72,76,63,65,78,76,80,56,72,62,63,68,61,56,66,78,76,76,73,62,69,67,64,69,79,63,60,80,64,77,78,77,62,74,79,78,77,63,78,81,1,35,2,5,,5,6,Good
2/27/19 11:08,2/27/19 11:11,0,196.19.157.30,100,172,1,2/27/19 11:11,R_1ikTufOCOSRcYzB,,,,,39.09970093,-94.57859802,anonymous,EN,1,28,57,18,89,62,71,50,23,78,69,53,65,72,53,62,74,43,6,48,48,36,36,48,12,95,87,80,88,85,69,90,87,86,35,,39,48,,4,77,,89,1,26,2,4,,7,7,
2/27/19 11:08,2/27/19 11:11,0,196.17.64.116,100,175,1,2/27/19 11:11,R_33vuAByTOfWMO4d,,,,,34.05439758,-118.2440033,anonymous,EN,1,66,65,68,76,67,62,81,58,66,71,79,72,77,74,63,82,62,6,76,76,81,69,58,70,62,76,70,85,77,77,68,80,67,72,54,67,83,73,4,73,79,76,1,25,1,4,,7,7,good
