Response ID,Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,.,unpredD,SincereD,DanD,TrustD,FriendD,HelpD,MoralD,UnderD,IntellD,SkillD,ConD,CreatD,CapD,AngD,DesD,EmbD,HapD,What is 2 + 4 equal to? - Equal to?,IsoD,VioD,SucD,UnpreS,SinS,DanS,TrustS,FriendS,HelpS,MorS,UndS,IntelS,SkilS,ConS,CreatS,CapS,AngS,DesirS,EmbS,JoyS,What is 1 + 3 equal to? - Equal to?,IsoS,VioS,SucS,Are you a native English speaker?,What is your age? - years,What is your gender?,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please specify): - Text,How politically liberal or conservative are you? - SOCIAL ISSUES,How politically liberal or conservative are you? - ECONOMIC ISSUES,"If you have any comments, please enter them here:"
R_1eOxNkDfm21dGw4,2/21/19 10:52,2/21/19 10:55,0,75.4.216.39,100,230,1,2/21/19 10:55,,,,,34.00340271,-84.46050262,anonymous,EN,1,21.0,100.0,1,100.0,100.0,50,100.0,100,100.0,100.0,51.0,100.0,100.0,51,100.0,59,50.0,6.0,73.0,0.0,100.0,53.0,100.0,52.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,25.0,100.0,50.0,67.0,100.0,29.0,13.0,4.0,84.0,49.0,50.0,1.0,36.0,2.0,5.0,,1.0,1.0,
R_2YQDwlV0FIZIqFR,2/21/19 10:53,2/21/19 10:57,0,76.0.56.231,100,246,1,2/21/19 10:57,,,,,38.71859741,-93.98560333,anonymous,EN,1,10.0,84.0,0,77.0,72.0,19,87.0,96,82.0,87.0,44.0,82.0,85.0,31,88.0,61,61.0,6.0,79.0,0.0,72.0,6.0,81.0,0.0,81.0,63.0,1.0,91.0,60.0,91.0,81.0,40.0,96.0,81.0,0.0,76.0,69.0,82.0,4.0,61.0,0.0,71.0,1.0,28.0,1.0,5.0,,1.0,1.0,Thank you!
R_1llDVW6gc341xWG,2/21/19 10:59,2/21/19 11:02,0,24.4.62.188,100,175,1,2/21/19 11:02,,,,,37.46470642,-122.2304001,anonymous,EN,1,97.0,64.0,69,48.0,32.0,55,68.0,29,75.0,36.0,34.0,75.0,42.0,86,21.0,92,16.0,6.0,79.0,59.0,43.0,94.0,24.0,68.0,13.0,83.0,73.0,46.0,26.0,21.0,19.0,37.0,100.0,40.0,87.0,14.0,47.0,10.0,4.0,73.0,95.0,22.0,1.0,23.0,2.0,3.0,,2.0,3.0,
R_tDO2hoMYEmdyTPH,2/21/19 11:10,2/21/19 11:12,0,73.48.80.170,100,155,1,2/21/19 11:12,,,,,30.49079895,-84.31580353,anonymous,EN,1,27.0,45.0,31,50.0,45.0,57,49.0,68,60.0,30.0,25.0,41.0,50.0,60,21.0,62,5.0,6.0,76.0,41.0,36.0,76.0,67.0,60.0,45.0,43.0,71.0,50.0,51.0,62.0,28.0,66.0,81.0,39.0,57.0,29.0,30.0,34.0,4.0,68.0,56.0,33.0,1.0,36.0,1.0,5.0,,1.0,1.0,
R_1mkjzSAcuCLnZs7,2/21/19 11:10,2/21/19 11:12,0,71.206.8.9,100,124,1,2/21/19 11:12,,,,,39.04620361,-77.11949921,anonymous,EN,1,70.0,70.0,71,71.0,73.0,71,71.0,70,72.0,62.0,60.0,72.0,70.0,62,59.0,71,60.0,6.0,71.0,62.0,62.0,90.0,51.0,90.0,54.0,52.0,73.0,54.0,53.0,51.0,51.0,53.0,72.0,53.0,74.0,0.0,53.0,1.0,4.0,72.0,73.0,52.0,1.0,37.0,2.0,2.0,,3.0,3.0,None.
R_W3BRAt6kp3s51Vn,2/21/19 11:14,2/21/19 11:17,0,68.61.218.97,100,217,1,2/21/19 11:17,,,,,42.59379578,-82.91329956,anonymous,EN,1,31.0,36.0,21,62.0,47.0,45,45.0,72,71.0,53.0,21.0,70.0,47.0,56,23.0,37,8.0,6.0,85.0,20.0,46.0,84.0,49.0,50.0,18.0,40.0,69.0,50.0,53.0,61.0,50.0,33.0,68.0,62.0,62.0,28.0,71.0,15.0,4.0,77.0,16.0,24.0,1.0,33.0,2.0,5.0,,1.0,6.0,
R_6hhKmVnOgXgYLwB,2/21/19 11:14,2/21/19 11:17,0,76.171.11.239,100,234,1,2/21/19 11:18,,,,,34.00300598,-118.4297943,anonymous,EN,1,51.0,79.0,72,59.0,36.0,72,53.0,72,68.0,54.0,1.0,50.0,73.0,1,33.0,51,1.0,6.0,85.0,1.0,49.0,92.0,50.0,61.0,14.0,31.0,70.0,71.0,55.0,42.0,21.0,27.0,51.0,52.0,40.0,1.0,50.0,18.0,4.0,87.0,39.0,29.0,1.0,30.0,2.0,2.0,,1.0,2.0,
R_1o8aSPBxKCBP2d0,2/21/19 11:14,2/21/19 11:19,0,73.110.45.4,100,286,1,2/21/19 11:19,,,,,41.83779907,-87.7602005,anonymous,EN,1,85.0,30.0,50,20.0,10.0,100,50.0,20,25.0,0.0,0.0,0.0,0.0,75,50.0,100,2.0,6.0,76.0,60.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,100.0,0.0,4.0,100.0,100.0,0.0,1.0,28.0,1.0,4.0,,4.0,4.0,Great survey!
R_XRk16K6TlxcpE8V,2/21/19 11:22,2/21/19 11:24,0,205.153.204.1,100,146,1,2/21/19 11:24,,,,,42.29330444,-121.8168945,anonymous,EN,1,7.0,69.0,33,63.0,55.0,53,77.0,62,79.0,60.0,39.0,93.0,73.0,29,52.0,18,54.0,6.0,41.0,13.0,70.0,63.0,46.0,51.0,29.0,28.0,55.0,54.0,27.0,52.0,13.0,27.0,41.0,45.0,32.0,51.0,70.0,8.0,4.0,76.0,39.0,28.0,1.0,45.0,1.0,5.0,,4.0,7.0,Thanks
R_29ubnlDxnIpZKQA,2/21/19 12:01,2/21/19 12:04,0,23.249.187.158,100,199,1,2/21/19 12:04,,,,,37.75100708,-97.82199859999999,anonymous,EN,1,75.0,76.0,78,76.0,77.0,77,76.0,76,76.0,73.0,76.0,77.0,76.0,75,74.0,77,77.0,6.0,75.0,77.0,77.0,73.0,70.0,82.0,70.0,69.0,77.0,72.0,77.0,76.0,77.0,76.0,76.0,70.0,70.0,77.0,77.0,78.0,4.0,70.0,71.0,75.0,1.0,28.0,1.0,5.0,,6.0,7.0,GOOD
